ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
7.88153917788086E+017,2016-10-17 23:05:11,I happen to believe health care is a right of all people. Where did that right come from? From being a human being.,SenSanders,97.5,1.6,12.0365217391,1.4,3.78,2.8333333333,6.76
7.88103266852803E+017,2016-10-17 19:43:55,"At a time when high school graduation rates are at all time highs, the next logical step is to make public colleges tuition free.",SenSanders,72.5,9.1,21.6,11.4,8.65,12,8.77
7.88034836589978E+017,2016-10-17 15:12:00,We have to have the courage to take on the fossil fuel industry and transform our energy system away from fossil fuels to renewable energy.,SenSanders,46.1,13,26.4,12.7,9.7,13.5,10.56
7.8800816068667E+017,2016-10-17 13:26:00,"When people leave college they should be able to start their life with excitement, not be saddled with outrageous levels of student debt.",SenSanders,65.05,9.9,25.1130434783,13.6,12.02,12.5,10.27
7.87715233439683E+017,2016-10-16 18:02:01,Universal health care is a reality in dozens of countries around the world. It really is not a radical idea for the U.S. to do the same.,SenSanders,87.72,3.3,17.4518518519,2.2,4.55,3.8333333333,8.76
7.87683521955525E+017,2016-10-16 15:56:00,There is no rational reason why the pharmaceutical industry continues to rip off the people of this country.,SenSanders,53.21,10.3,24.7555555556,11.4,11.77,9,10.67
7.87464075315966E+017,2016-10-16 01:24:00,"In 1965, ratio of CEO pay to average worker pay was 20:1. In 2014, it was 303:1. Thats just incomprehensible to me.",SenSanders,106.37,0.2,12.1927272727,2.3,4.82,3,6.87
7.87442432069763E+017,2016-10-15 23:58:00,"Congress agenda should represent the agenda of the American people, not just a few billionaires.",SenSanders,47.79,10.3,24,11.8,13.85,8.5,10.7
7.87421293016551E+017,2016-10-15 22:34:00,Let's not kid ourselves. We have today a campaign finance system that amounts to legalized bribery.,SenSanders,54.9,7.6,25.2,7.3,11.1,3.5,11.93
7.87387068053791E+017,2016-10-15 20:18:00,"Apparently for many in the top 1%, owning and controlling our economy is not enough. They also want to own and control the government.",SenSanders,76.22,5.6,21.8,6.3,8.63,6,10.15
7.87361463350337E+017,2016-10-15 18:36:15,The CEOs of drug companies should not be making millions when customers are dying because they cannot afford their medication.,SenSanders,59.64,9.9,26,13.8,13.75,11,10.94
7.87084046820073E+017,2016-10-15 00:13:54,"The drug industry is getting very, very nervous. We are going to take them on and lower the cost of medication across this country.",SenSanders,76.22,5.6,21.8,5.8,7.93,5.5,10.15
7.87083316478419E+017,2016-10-15 00:11:00,"If you can make billions every single year, you can pay your employees a livable wage.",SenSanders,72.16,7.2,20.9,7.5,8.18,7,9.36
7.870558863302E+017,2016-10-14 22:22:00,"We have to take action on climate change and not wait around for the situation to get worse, until we wake up and realize it is too late.",SenSanders,68.44,10.7,21.7714285714,11.1,5.81,14,8.41
7.87020401880789E+017,2016-10-14 20:01:00,My message to the billionaires: You cant continue sending our jobs to China while millions are looking for work,SenSanders,60.65,9.5,26.4421052632,11.1,11.08,10.5,11.23
7.87000269573718E+017,2016-10-14 18:41:00,Our spending on incarceration is rising faster than our spending on education. Thats an egregious trend and must be changed.,SenSanders,69.79,6,20,8.3,11.69,5,9.66
7.86969683698287E+017,2016-10-14 16:39:28,"Drug corporations' greed is unbelievable. Ariad has raised the price of a leukemia drug to almost $199,000 a year.",SenSanders,70.29,5.8,18.4315789474,7.1,10.23,4.75,9.09
7.86967306647855E+017,2016-10-14 16:30:01,"Young people in this country should be in good schools and at good jobs, not in jail cells.",SenSanders,103.97,3.2,13.6444444444,6.9,6.26,8,6.28
7.86948481395089E+017,2016-10-14 15:15:13,"I wish I could say that we as a country have made enough progress for all Americans to truly be equal by now. But, no, our fight must go on.",SenSanders,90.09,4.4,16,3.5,3.59,7,7.54
7.86674119613948E+017,2016-10-13 21:05:00,How can the United States stand to be the only major country on earth that doesnt guarantee health care to all people as a right?,SenSanders,71.48,9.5,23.2,10.9,7.38,12.5,9.3
7.86642915799949E+017,2016-10-13 19:01:00,Election Day should be a national holiday so that everybody has the opportunity to vote.,SenSanders,47.79,10.3,21.3333333333,9.3,10.72,8.5,9.64
7.86610574264308E+017,2016-10-13 16:52:30,What does Wells Fargo CEO John Stumpf get for overseeing a massive fraud of the American people? $134 million.,SenSanders,77.57,7.2,22.2315789474,10.9,10.79,10.5,9.57
7.86573815090262E+017,2016-10-13 14:26:26,"We won't survive if we continue to destroy nature. Until the tribes are consulted, all Dakota Access pipeline construction should be halted.",SenSanders,43.39,9.9,28.2181818182,9.6,12.91,4.5,12.79
