ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
5.97797429757477E+017,2015-05-11 16:16:28,Edward Timpson will become Minister of State for Children and Families at Department for Education,David_Cameron,39.33,11.5,29.3333333333,12.4,14.61,7.5,12.8
5.97797083534533E+017,2015-05-11 16:15:05,Philip Dunne has been promoted to Minister of State for Defence Procurement at Ministry of Defence,David_Cameron,46.78,10.7,23.4,11,12.53,8,10.35
5.97794847148397E+017,2015-05-11 16:06:12,Jo Johnson is the Minister of State for Universities and Science at the Department for Business.,David_Cameron,55.24,9.5,20.9,10.4,11.77,8,9.36
5.97792806648807E+017,2015-05-11 15:58:06,Alistair Burt is the new Minister of State at the Department of Health.,David_Cameron,75.2,6,16.4307692308,6.5,8.16,5.5,7.93
5.97791568683205E+017,2015-05-11 15:53:11,John Hayes is the new Minister of State for Security at the Home Office.,David_Cameron,74.19,6.4,16.1714285714,5.4,6.55,7,7.71
5.97790191621951E+017,2015-05-11 15:47:42,Penny Mordaunt will become Armed Forces Minister at Ministry of Defence - first woman in this role,David_Cameron,46.78,10.7,33.4,10.7,12.12,7.5,14.3
5.97789209286574E+017,2015-05-11 15:43:48,Mark Francois will become Minister of State at Department for Communities and Local Government,David_Cameron,40.34,11.1,27.6,12.8,15.71,7,12.23
5.97787346319352E+017,2015-05-11 15:36:24,Ros Altman will become Pensions Minister at the Department for Work and Pensions,David_Cameron,66.74,7.2,22.5846153846,9.7,12.17,5.5,10.35
5.9777076402101E+017,2015-05-11 14:30:30,Matt Hancock is Minister of State at the Cabinet Office. He will pursue efficiency and Civil Service reform and will attend Cabinet.,David_Cameron,51.85,8.8,24.5818181818,7.9,10.83,5,11.36
5.97768208662319E+017,2015-05-11 14:20:21,Fantastic to get all of our new MPs together for the first time since the election.,David_Cameron,80.62,6,15.9,6.6,7.07,7,7.39
5.97767292932456E+017,2015-05-11 14:16:43,David Mundell will become Secretary of State for Scotland,David_Cameron,45.42,9.2,27.8222222222,8.7,12.5,4.5,12.86
5.97765399518806E+017,2015-05-11 14:09:11,Greg Hands will become Chief Secretary to the Treasury. He will attend Cabinet.,David_Cameron,64.88,5.8,19.9846153846,6.1,9.63,2.75,10.03
5.97763093263942E+017,2015-05-11 14:00:01,Stephen Crabb will remain Secretary of State for Wales,David_Cameron,62.34,6.8,23.3777777778,7.1,10.58,4.5,11.1
5.97761580269449E+017,2015-05-11 13:54:01,Oliver Letwin will become a full member of Cabinet and will be in overall charge of the Cabinet Office,David_Cameron,52.19,10.7,24.3368421053,8.9,8.36,8.5,10.4
5.9775904735447E+017,2015-05-11 13:43:57,Jeremy Hunt remains as Secretary of State at the Department of Health.,David_Cameron,59.3,8,20.1333333333,7.7,10.37,6,9.5
5.9775519288132E+017,2015-05-11 13:28:38,Theresa Villiers will remain as Secretary of State for Northern Ireland.,David_Cameron,43.39,9.9,28.2181818182,10.6,14.25,5.5,12.79
5.97753947135353E+017,2015-05-11 13:23:41,Justine Greening will remain Secretary of State at the Department for International Development.,David_Cameron,15.98,14.3,28.7384615385,15.5,19.3,8.5,12.78
5.97752512280719E+017,2015-05-11 13:17:59,Greg Clark is the new Secretary of State at the Department of Communities and Local Government.,David_Cameron,55.24,9.5,20.9,10.1,11.42,9,9.36
5.97749509897204E+017,2015-05-11 13:06:03,Anna Soubry is the new Minister of State for Small Business. She will attend Cabinet.,David_Cameron,72.32,5,21,4.6,7.79,2.75,10.32
5.97748113261081E+017,2015-05-11 13:00:30,"Liz Truss will remain as the Secretary of State for the Environment, Food and Rural Affairs.",David_Cameron,63.7,8.4,20.9,9.2,10.32,9,9.36
5.97746264797753E+017,2015-05-11 12:53:09,Patrick McLoughlin will remain as Secretary of State for Transport.,David_Cameron,61.33,7.2,26,10.9,14.88,5,12.03
5.97743769711157E+017,2015-05-11 12:43:14,I can confirm the Iain Duncan Smith will remain as Secretary of State for Work and Pensions.,David_Cameron,79.6,6.4,20.5647058824,8.1,8.35,8.5,9.12
