ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
7.15960513830777E+017,2016-04-01 17:54:23,"""Another encouraging jobs report,"" as the longest streak of private-sector job growth on record continues.",BarackObama,47.79,10.3,26.6666666667,14.9,17.68,8.5,11.75
7.1593491626172E+017,2016-04-01 16:12:40,"The United States of America has the strongest, most durable economy in the worldand it's getting better.",BarackObama,45.76,11.1,29.9764705882,11.8,12.82,10.5,12.84
7.15909089113432E+017,2016-04-01 14:30:02,"The economy added 215,000 jobs in Marcha record-breaking 73 months of private-sector job growth.",BarackObama,65.73,7.6,21.8857142857,13.5,16.52,9,9.97
7.15670323165659E+017,2016-03-31 22:41:16,This is ityour last chance to win a free trip to Chicago to meet James Taylor: ,BarackObama,89.08,4.8,18.4,5.1,5.28,7,8.38
7.15650523949507E+017,2016-03-31 21:22:35,DEADLINE: Chip in to support this grassroots movement before midnight tonight. ,BarackObama,51.85,8.8,31.8545454545,13.2,17.38,4.5,14.23
7.15632986964668E+017,2016-03-31 20:12:54,You've got a friend that wants to meet James Taylor? Enter today and you could both be heading to Chicago:,BarackObama,86.71,3.7,18,4.1,6.47,4,8.87
7.15613984452284E+017,2016-03-31 18:57:24,Marriage equality.  Obamacare.  A global climate agreement.  Push for more progress: ,BarackObama,15.13,12.5,29.6545454545,11.7,16.28,2.75,13.96
7.15558012656587E+017,2016-03-31 15:14:59,Calling all supportersthe fundraising deadline is here. Do your part to chip in: ,BarackObama,73.34,4.6,16.9076923077,6.5,10.09,2.25,8.82
7.1530374856679E+017,2016-03-30 22:24:38,Enjoy the tunes of James Taylor in Chicago this summerenter before tomorrow's deadline: ,BarackObama,32.9,11.9,34.8923076923,12.2,15.3,6.5,15.21
7.15288463403135E+017,2016-03-30 21:23:53,Time's almost up. Pitch in before the deadline: ,BarackObama,67.42,4.9,23.6,4.1,5.8,1,11.73
7.15225309763666E+017,2016-03-30 17:12:56,Make a play before the big fundraising deadline tomorrowpitch in now: ,BarackObama,51.85,8.8,20.9454545455,9.3,12.62,5.5,9.92
7.15194440487309E+017,2016-03-30 15:10:16,A free flight to Chicago. A free hotel room. Tickets to see the legendary James Taylor. Enter now:,BarackObama,82.31,3.3,19.9555555556,2.8,5.27,2.3333333333,10.07
7.14936051777741E+017,2016-03-29 22:03:32,Start your enginesthe big fundraising deadline is coming up. Chip in: ,BarackObama,60.31,7.6,20.9454545455,9.3,12.62,4.5,9.92
7.14906419003195E+017,2016-03-29 20:05:47,Ever met a music legend? Here's your chancemeet James Taylor in Chicago this summer: ,BarackObama,64.37,6,30.5142857143,5.9,9.46,2.5,14.13
7.14498279979942E+017,2016-03-28 17:03:59,Add your name for a chance to see James Taylor perform live in Chicago this summer: ,BarackObama,72.16,7.2,20.9,6.6,7.07,7,9.36
7.14145739111174E+017,2016-03-27 17:43:07,"""We wish all who celebrate a blessed and joyful Easter."" ",BarackObama,78.25,4.8,22,5.7,8.5,4,10.45
7.12759555613008E+017,2016-03-23 21:54:55,Obamacare: Giving young adults (and their parents) peace of mind since 2010.,BarackObama,67.76,6.8,20.1333333333,10.1,13.27,6,9.5
7.1269729895476E+017,2016-03-23 17:47:32,20 million Americans covered:  9 in 10 Americans now have health insurance:  Lowest uninsured rate on record: ,BarackObama,45.76,11.1,25.2705882353,12.3,13.45,11.5,10.98
7.12030379109036E+017,2016-03-21 21:37:25,Want to meet James Taylor in Chicago? Enter today for your chance: ,BarackObama,82.31,3.3,21.0666666667,3.1,5.73,2,10.51
7.11277342832747E+017,2016-03-19 19:45:08,"""Give Judge Garland the respect he has earned. Give him a hearing. Give him an up-or-down vote."" ",BarackObama,74.15,4.3,16.0447058824,3.6,6.19,1.8333333333,8.56
7.11239296334713E+017,2016-03-19 17:13:57,"In the weekly address, President Obama urges the Senate to give Judge Garland a fair hearing and timely vote:",BarackObama,52.19,10.7,28.5473684211,10.6,10.5,8.5,12.06
7.09830400474939E+017,2016-03-15 19:55:30,Senate leaders shouldn't hold up the Supreme Court nomination processsign the petition:,BarackObama,42.38,10.3,26.8,14.4,18.55,6,12.13
7.07607528276754E+017,2016-03-09 16:42:36,"""Senate needs to think and vote."" See what editorials boards are saying about the Supreme Court nomination:",BarackObama,62.85,6.6,17.1647058824,8,11.68,4.25,8.7
7.07322712293663E+017,2016-03-08 21:50:50,The President is going to nominate a qualified Supreme Court Justicetell Senate leaders to do their jobs:,BarackObama,45.76,11.1,25.2705882353,11.8,12.82,8.5,10.98
7.05830736302088E+017,2016-03-04 19:02:15,"February's 242,000 new jobs mean the American economy has been creating jobs for six straight years.",BarackObama,72.16,7.2,18.4,11.6,13.22,9,8.38
7.05804547281785E+017,2016-03-04 17:18:11,The American economy continues its comeback.,BarackObama,-2.29,15.1,31.0666666667,12.2,16.87,4,14.46
7.05779942852846E+017,2016-03-04 15:40:25,"The economy added 242,000 jobs in Februarya record-breaking six straight years of private-sector job growth.",BarackObama,56.25,9.1,21.3333333333,15.6,18.49,10.5,9.64
7.05481312119837E+017,2016-03-03 19:53:46,LIVE: President Obama is celebrating Milwaukee's victory in the Healthy Communities Challenge.,BarackObama,8.53,15.1,33.4666666667,17.2,21.97,7,14.76
7.05442738829808E+017,2016-03-03 17:20:30,Tune in at 12:50 p.m. ET to see President Obama congratulate Milwaukee on winning the Healthy Communities Challenge.,BarackObama,62.34,6.8,23.3777777778,9,12.84,4.5,11.1
7.04339724433912E+017,2016-02-29 16:17:30,LIVE: President Obama is presenting the Medal of Honor to Senior Chief Special Warfare Operator Edward Byers.,BarackObama,37.3,12.3,32.3294117647,12.8,14.15,8.5,13.77
7.03338952967598E+017,2016-02-26 22:00:48,"Our economy has come a long way, but there's more work to dosay you support common-sense economic policies:",BarackObama,44.75,11.5,24.7555555556,11.1,11.42,11,10.67
7.03322414181036E+017,2016-02-26 20:55:05,"Seven years ago, our economy was shedding nearly 800,000 jobs a day. We've come a long way.",BarackObama,88.23,3.1,17.1647058824,3.6,6.23,3.75,8.7
7.03299811991138E+017,2016-02-26 19:25:16,Our economy has added 14 million jobs over the longest streak of private-sector job growth on record.,BarackObama,62.68,8.7,25.2705882353,10.6,11.42,10.5,10.98
7.0329010091486E+017,2016-02-26 18:46:41,LIVE: President Obama is highlighting the progress of the American economy.,BarackObama,26.47,12.3,28.2181818182,11.9,15.81,6.5,12.79
7.02896429765784E+017,2016-02-25 16:42:22,"The solar industry hit record growth last year, surpassing natural gas installations for the first time:",BarackObama,63.7,8.4,23.4,12.8,14.67,8,10.35
7.02153879056585E+017,2016-02-23 15:31:44,LIVE: President Obama is delivering a statement from the Roosevelt Room.,BarackObama,34.93,11.1,24.5818181818,10.6,14.25,5.5,11.36
7.01904010870026E+017,2016-02-22 22:58:51,A fair judicial nomination process is important for a functioning democracyread more:,BarackObama,33.92,11.5,26.8,13.6,17.62,7,12.13
7.01837025821925E+017,2016-02-22 18:32:41,The Senate should not play political games with our Supreme Court.,BarackObama,60.31,7.6,20.9454545455,8,11.06,5.5,9.92
7.01479226298466E+017,2016-02-21 18:50:55,Add your name to let the Senate know: The Supreme Court is too important to be held hostage by partisan politics.,BarackObama,58.62,10.3,21.8285714286,9.9,8.41,10.5,9.19
7.00413841239204E+017,2016-02-18 20:17:27,"The longest streak of private-sector job growth, 4.9% unemployment ratemiddle-class economics is working.",BarackObama,39.5,9.4,23.0615384615,15.5,21.23,4.25,11.25
7.00047508177727E+017,2016-02-17 20:01:46,"In the past seven years, our economy has made real progress.",BarackObama,77.23,5.2,17.3090909091,5.5,7.93,5.5,8.49
6.97898468103189E+017,2016-02-11 21:42:15,"Marriage equality may be the law of the land, but there's more work to do to end discrimination. Join the fight:",BarackObama,77.74,5,13.819047619,4.4,6.64,5.25,7.16
6.97829799344013E+017,2016-02-11 17:09:23,"""The fact is weve gotten a heck of a lot done these past seven years, despite the gridlock."" ",BarackObama,78.59,6.8,18.0888888889,7.2,6.61,8,8.04
