ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
7.81166858657468E+017,2016-09-28 16:21:07,Trump's plan: Cut taxes for billionaires and millionaires like him. Raise taxes for millions of middle-class families.,HillaryClinton,54.39,7.8,19.5176470588,11.1,15.45,4.25,9.63
7.81158993888698E+017,2016-09-28 15:49:52,A man who bullies and shames a woman for her weight should never become president.,HillaryClinton,73.17,6.8,24,7.4,8.4,6.5,10.7
7.8114721917714E+017,2016-09-28 15:03:04,"For forty years, every presidential candidate has released their tax returnsexcept for Trump. What's he hiding?",HillaryClinton,54.9,7.6,22.7,10.8,15.45,4,10.94
7.81098695647388E+017,2016-09-28 11:50:15,This election is a choice between an economy that benefits everyone or an economy that benefitsDonald Trump.,HillaryClinton,28.84,13.5,22.9176470588,12.6,13.8,11.5,10.05
7.80938357232792E+017,2016-09-28 01:13:08,"20 years after Donald bullied a beauty pageant winner for her weight, the real ""problem"" isstill Donald.",HillaryClinton,79.6,6.4,29.9764705882,11.5,12.47,7.5,12.84
7.80925634159796E+017,2016-09-28 00:22:34,The question in this election: Who can put the plans into action that will make your life better?,HillaryClinton,78.59,6.8,20.3111111111,8.5,8.18,8,8.92
7.80907038650069E+017,2016-09-27 23:08:41,"If we stand together, there's nothing we can't do.  Make sure you're ready to vote: ",HillaryClinton,80.78,3.9,15.6666666667,3.7,6.63,2.75,8.22
7.80897419462603E+017,2016-09-27 22:30:27,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer.,HillaryClinton,54.9,7.6,25.2,7,10.75,3.5,11.93
7.80881075891532E+017,2016-09-27 21:25:31,When Donald Trump goes lowregister to vote: ,HillaryClinton,72.83,4.8,16.2285714286,7,10.74,3.5,8.5
7.80859420846727E+017,2016-09-27 19:59:28,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.),HillaryClinton,61.67,9.1,26.9777777778,11.9,12.41,11,11.55
7.80852261442445E+017,2016-09-27 19:31:01,"She gained about 55 pounds in9 months. She was like an eating machine. Trump, a man who wants to be president:",HillaryClinton,98.21,1.3,14.3238095238,2.3,4.94,2.5,7.74
7.80830984262517E+017,2016-09-27 18:06:28,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter.""",HillaryClinton,79.77,4.2,17.1647058824,8,11.68,4.25,8.7
7.80830729760485E+017,2016-09-27 18:05:27,One candidate made it clear he wasnt prepared for last nights debate. The other made it clear shes prepared to be president.,HillaryClinton,68.77,6.4,15.4909090909,6.1,8.68,4.5,7.77
7.80830087457407E+017,2016-09-27 18:02:54,"""What kind of a person would want to root for 9 million families losing their homes? One who should never be president."" Hillary on Trump",HillaryClinton,88.43,3,18.12,4,6.86,3.1666666667,9.1
7.80828916919505E+017,2016-09-27 17:58:15,"""I dont think that any family should have to pay more than 10% of their income on child care.",HillaryClinton,86.03,6,15.9157894737,6.7,5.63,8.5,7.07
7.80828206039503E+017,2016-09-27 17:55:26,"""Im really glad my dad never had a contract with Donald Trump.",HillaryClinton,93.14,3.2,20.1333333333,4.6,6.48,5,9.5
7.80827541670076E+017,2016-09-27 17:52:47,"When you work hard, you should not be living in poverty.",HillaryClinton,102.61,1.7,13.6727272727,3.8,5.78,4.5,7.05
7.80825360611086E+017,2016-09-27 17:44:07,"""We may have a record-setting turnout in this election. We could have the biggest turnout we've ever had.""",HillaryClinton,70.8,5.6,16.7111111111,6.3,9.6,4,8.47
7.80816109700125E+017,2016-09-27 17:07:22,"Donald just criticized me for preparing for this debate. And you know what else I prepared for? I prepared to be president.""",HillaryClinton,72.53,5,15.8290909091,4.3,7.2,3,8.3
7.80802294002647E+017,2016-09-27 16:12:28,"""She gained a massive amount of weightit was a real problem."" Trump this morning on Alicia Machado",HillaryClinton,71.31,5.4,24.2235294118,5.5,8.6,3.25,11.49
