ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
9.2766634119211E+017,2017-11-06 22:37:45,In today's meeting with party leaders we agreed to establish a new grievance system for staff in Parliament to report bullying and harassment,jeremycorbyn,56.59,11.1,32.0695652174,14.4,13,11.5,13.02
9.27238014270693E+017,2017-11-05 18:15:44,"Faced with the ongoing revelations about sexual harassment, we must make this a turning point and a moment of real change.",jeremycorbyn,67.08,9.1,25.6380952381,12,10.91,11.5,10.69
9.27083076806513E+017,2017-11-05 08:00:04,"New Horizon supports vulnerable and homeless young people. In 2017 and in the sixth richest country in the world, no one should be homeless.",jeremycorbyn,76.22,5.6,20.1333333333,7.6,10.14,5.5,9.5
9.26788631091487E+017,2017-11-04 12:30:03,I want to wish Sikhs everywhere a very happy Guru Nanak Gurpurab.,jeremycorbyn,50.84,9.2,26.8,5.8,7.93,6,12.13
9.26380955815756E+017,2017-11-03 09:30:05,"In Parliament today, I'm supporting Senis Law to protect mental health patients in custody and mental health units.",jeremycorbyn,61.67,9.1,29.2,13.2,13.98,8,12.42
9.26343210254791E+017,2017-11-03 07:00:06,"Today, MPs will be able to support a Bill to bring the voting age down to 16. RT this video and sign our petition: ",jeremycorbyn,101.59,2.1,16.8,2.4,3.81,5,8.18
9.25839975647719E+017,2017-11-01 21:40:26,"Frank Doran was a kind and principled person, and as an MP he provided a strong voice for the people of Aberdeen and for our Labour values.",jeremycorbyn,69.45,10.3,24.6518518519,11.8,7.32,13.5,9.65
9.25782282971042E+017,2017-11-01 17:51:11,I am supporting Senis Law to protect mental health patients in custody and mental health units. Sign the petition: ,jeremycorbyn,70.29,5.8,22.6421052632,7.1,10.23,3.75,10.76
9.25678518771601E+017,2017-11-01 10:58:51,Tories must reduce the maximum stake on FOBTs from 100 to 2 a spin as Labour pledged in our manifesto. Sign and RT:,jeremycorbyn,93.64,3.1,17.0347826087,3.3,4.97,5.25,8.33
9.25618428483797E+017,2017-11-01 07:00:05,"On Friday, MPs will be able to support a Bill to bring the voting age down to 16. RT this video and sign our petition: ",jeremycorbyn,101.09,2.3,16.6,2.5,3.64,5.25,8.05
9.25489949197132E+017,2017-10-31 22:29:33,"Terrible reports of lives lost in NYC terror attack. My thoughts and solidarity are with those affected, their families and emergency services",jeremycorbyn,43.39,9.9,24.5818181818,10,13.44,5.5,11.36
9.25437728736662E+017,2017-10-31 19:02:02,Speaking out about rape and sexual harassment takes enormous courage. Bex Bailey has shown incredible bravery.,jeremycorbyn,37.98,10,30.2,10.5,15.1,3.5,13.9
